Question,Option 1,Option 2,Option 3,Option 4,Answer,Hint,Know More,Link,YouTube,Image,Type,Concept/Subtopic,Worksheet No
The children ____ in the park yesterday.,played,play,playing,plays,played,Past action,,,,,MCQ,Verbs,1
She ____ a beautiful song now.,is singing,sing,sang,sung,is singing,Present continuous,,,,,MCQ,Verbs,1
Identify the verb: The cat jumps over the fence.,jumps,cat,fence,over,jumps,Action word,,,,,MCQ,Verbs,1
Identify the verb: I am a student.,am,I,student,a,am,Linking verb,,,,,MCQ,Verbs,1
He ____ his homework every day.,does,do,doing,did,does,Habitual action,,,,,MCQ,Verbs,1
They ____ to the zoo last week.,went,go,gone,going,went,Past tense of go,,,,,MCQ,Verbs,1
The sun ____ in the east.,rises,rise,rose,rising,rises,Universal truth,,,,,MCQ,Verbs,1
We ____ dinner right now.,are eating,ate,eat,eaten,are eating,Happening now,,,,,MCQ,Verbs,1
Identify the verb: Please close the door.,close,Please,door,the,close,Command,,,,,MCQ,Verbs,1
The birds ____ south for the winter.,fly,flying,flew,flown,fly,General fact,,,,,MCQ,Verbs,1
She ____ very fast.,runs,running,ran,run,runs,Present simple,,,,,MCQ,Verbs,1
I ____ a letter to my friend.,wrote,write,written,writing,wrote,Past action,,,,,MCQ,Verbs,1
They ____ football in the evening.,play,plays,played,playing,play,Habitual,,,,,MCQ,Verbs,1
The baby ____ peacefully.,is sleeping,sleep,slept,sleeps,is sleeping,Now,,,,,MCQ,Verbs,1
Identify the verb: Can you help me?,help,you,me,Can,help,Main action,,,,,MCQ,Verbs,1
My teacher ____ us a new topic.,taught,teach,teaching,teaches,taught,Past,,,,,MCQ,Verbs,1
Identify the verb: The water feels cold.,feels,water,cold,The,feels,Linking verb,,,,,MCQ,Verbs,1
We ____ waiting for the bus.,are,is,was,be,are,Auxiliary verb,,,,,MCQ,Verbs,1
The dog ____ loudly at the stranger.,barked,bark,barks,barking,barked,Past,,,,,MCQ,Verbs,1
Identify the verb: I have a red bicycle.,have,I,red,bicycle,have,Possession,,,,,MCQ,Verbs,1
She ____ to be a doctor.,wants,want,wanting,wanted,wants,Desire,,,,,MCQ,Verbs,1
The stars ____ at night.,twinkle,twinkling,twinkled,twinkles,twinkle,Fact,,,,,MCQ,Verbs,1
He ____ the ball far.,threw,throw,thrown,throwing,threw,Past,,,,,MCQ,Verbs,1
Identify the verb: Look at that plane!,Look,at,that,plane,Look,Imperative,,,,,MCQ,Verbs,1
They ____ happy with the results.,were,was,is,be,were,Past state,,,,,MCQ,Verbs,1
The chef ____ a delicious meal.,cooked,cook,cooking,cooks,cooked,Past,,,,,MCQ,Verbs,1
Identify the verb: Thinking is good for you.,Thinking,good,you,for,Thinking,Gerund as verb/noun,,,,,MCQ,Verbs,1
Identify the verb: Thinking is good for you.,is,Thinking,good,you,is,Main verb,,,,,MCQ,Verbs,1
I ____ my keys.,lost,lose,losing,losed,lost,Past,,,,,MCQ,Verbs,1
We ____ a movie tonight.,will watch,watch,watched,watching,will watch,Future,,,,,MCQ,Verbs,1
The train ____ on time.,arrived,arrive,arriving,arrives,arrived,Past,,,,,MCQ,Verbs,1
